train_arc_acc,train_lab_acc
0.0277421,0.0231042
0.0313602,0.0757581
0.00303498,0.0876757
0.00591771,0.0814147
0.0,0.0773801
0.0,0.0752601
0.0,0.0743867
0.0,0.050554
0.0,0.0319378
0.0,0.0145545
0.0,0.00637859
0.0,0.000552497
0.0,0.00109729
0.0,0.00339511
0.0,0.00649447
0.0,0.00987981
0.0,0.0157573
0.0,0.0407041
0.0,0.0641635
0.0,0.0844746
0.0,0.120385
0.0,0.115131
0.0,0.132995
0.0,0.136346
0.0,0.157506
0.0,0.172947
0.0,0.196824
0.0,0.197165
0.0,0.188911
0.0,0.219604
0.0,0.223041
0.0,0.213839
0.0,0.227405
0.0,0.235461
0.000244141,0.24849
0.00759135,0.242984
0.0198127,0.293839
0.0373483,0.288737
0.0539986,0.302097
0.0618558,0.322941
0.0749859,0.302761
0.0921713,0.317419
0.0778125,0.330192
0.0608783,0.326393
0.0810102,0.341271
0.0977856,0.34221
0.0883478,0.359277
0.0836771,0.370185
0.0681803,0.387363
0.0893483,0.398402
0.111105,0.429684
0.107323,0.423446
0.0924362,0.437822
0.102508,0.437538
0.096709,0.456069
0.101391,0.461719
0.109042,0.449413
0.118163,0.463246
0.132581,0.467146
0.141671,0.485003
0.144172,0.509645
0.11775,0.499503
0.126199,0.509551
0.1699,0.531905
0.139406,0.538068
0.156145,0.53419
0.127125,0.539116
0.158383,0.554853
0.125476,0.563535
0.159294,0.568064
0.168869,0.573659
0.131434,0.601556
0.148437,0.598506
0.151954,0.592948
0.146188,0.59336
0.189385,0.606776
0.188472,0.609968
0.160196,0.627204
0.164225,0.612542
0.183456,0.633069
0.16253,0.631215
0.16425,0.637691
0.184845,0.663691
0.17081,0.665095
0.166849,0.645601
0.181112,0.680121
0.203556,0.664112
0.163591,0.655806
0.198955,0.671812
0.209917,0.689963
0.213819,0.679836
0.202121,0.693751
0.174588,0.672129
0.199484,0.697931
0.208936,0.689323
0.218219,0.72261
0.196482,0.689456
0.217039,0.702711
0.198535,0.70968
0.203133,0.71584
0.210915,0.695892
0.238369,0.72527
0.222108,0.714137
0.21219,0.689737
0.261286,0.709256
0.253655,0.701086
0.228706,0.702105
0.213027,0.71638
0.250358,0.720477
0.228956,0.722921
0.251354,0.6902
0.235148,0.725167
0.260654,0.737003
0.27016,0.730516
0.261431,0.747156
0.254754,0.742298
0.255111,0.739048
0.249648,0.713161
0.255129,0.750251
0.292838,0.748046
0.285436,0.755953
0.289012,0.737116
0.281312,0.748688
0.292249,0.766378
0.278606,0.754155
0.315143,0.761234
0.288237,0.757706
0.267492,0.757402
0.280203,0.763434
0.30177,0.743175
0.307476,0.736127
0.310972,0.781879
0.302038,0.77435
0.30135,0.793227
0.288062,0.764163
0.301825,0.768686
0.304693,0.783148
0.300437,0.780387
0.287282,0.774095
0.300621,0.769712
0.316076,0.780729
0.286958,0.779367
0.326268,0.78414
0.286241,0.764507
0.298938,0.783716
0.331151,0.778192
0.349721,0.797562
0.307673,0.79736
0.347313,0.790662
0.318607,0.777318
0.331016,0.790946
0.321597,0.79624
0.303821,0.783543
0.336513,0.796229
0.325098,0.758492
0.285027,0.802369
0.308728,0.789972
0.345959,0.79205
0.355221,0.803823
0.351373,0.796166
0.327667,0.801465
0.31185,0.793509
0.317894,0.787543
0.351443,0.813712
0.333048,0.809981
0.356897,0.791234
0.340942,0.814362
0.336365,0.806481
0.353698,0.803244
0.361308,0.806206
0.338863,0.822029
0.349487,0.8082
0.344982,0.828717
0.341491,0.797672
0.297655,0.807938
0.334978,0.81715
0.376685,0.815044
0.352043,0.811197
0.362454,0.802079
0.382184,0.8299
0.344618,0.809688
0.379114,0.804014
0.355004,0.810621
0.321961,0.814093
0.376898,0.815803
0.339807,0.827924
0.350783,0.828657
0.348904,0.828444
0.375912,0.828385
0.342891,0.813705
0.370412,0.802105
0.386768,0.812028
0.369982,0.829769
0.38897,0.82284
0.373763,0.823399
0.406351,0.820655
0.393203,0.828765
0.363774,0.841228
0.407555,0.830051
0.421193,0.816626
0.402943,0.841357
0.390205,0.829682
0.382469,0.805214
0.392828,0.816611
0.442417,0.845183
0.399187,0.828789
0.410583,0.839121
0.399463,0.833597
0.387605,0.840157
0.405462,0.82084
0.41959,0.8423
0.408159,0.834673
0.392214,0.831335
0.438962,0.836465
0.434901,0.840926
0.418906,0.824507
0.440409,0.836677
0.383576,0.824285
0.44038,0.838086
0.421497,0.854507
0.41841,0.828934
0.444862,0.837834
0.40119,0.813438
0.433178,0.835238
0.430788,0.833078
0.474566,0.834726
0.422403,0.838024
0.431948,0.841445
0.455069,0.843418
0.438967,0.840774
0.423441,0.839308
0.463682,0.848558
0.46142,0.840235
0.432317,0.838737
0.450715,0.848782
0.449984,0.841784
0.459201,0.836513
0.481863,0.859221
0.460116,0.853657
0.468504,0.85828
0.469887,0.860632
0.470242,0.831047
0.471721,0.859549
0.507096,0.849166
0.482327,0.859318
0.501884,0.850771
0.506795,0.850531
0.524499,0.83545
0.465207,0.848565
0.528436,0.849825
0.490577,0.847446
0.516285,0.854035
0.495937,0.847146
0.518902,0.840947
0.56354,0.861947
0.512827,0.861547
0.526891,0.855212
0.505664,0.8453
0.546202,0.849389
0.534203,0.851604
0.511278,0.854585
0.560767,0.858232
0.510658,0.852301
0.531221,0.861976
0.532124,0.846366
0.543837,0.842677
0.536153,0.849565
0.546735,0.858758
0.510233,0.866314
0.541342,0.850598
0.552002,0.853796
0.565742,0.860791
0.542589,0.855649
0.527024,0.855502
0.552292,0.853305
0.561944,0.873954
0.530038,0.834839
0.559805,0.866011
0.560934,0.858932
0.568056,0.860713
0.577805,0.860913
0.567912,0.869453
0.565795,0.860371
0.557013,0.864341
0.553514,0.843078
0.577059,0.85959
0.550946,0.860697
0.569867,0.849806
0.565595,0.859201
0.556507,0.870744
0.570731,0.855878
0.60195,0.871081
0.563601,0.860137
0.586917,0.867472
0.568183,0.858516
0.590203,0.873759
0.587036,0.870142
0.567448,0.877872
0.58784,0.87222
0.59902,0.85731
0.585939,0.862328
0.597398,0.854592
0.611722,0.885688
0.592479,0.855263
0.608753,0.87373
0.589452,0.856981
0.587096,0.864273
0.609774,0.875075
0.599817,0.868486
0.576079,0.859386
0.587551,0.875249
0.594655,0.878619
0.597356,0.868021
0.606697,0.853098
0.618461,0.873311
0.61665,0.856576
0.613445,0.872866
0.609728,0.871593
0.638799,0.874701
0.613373,0.8686
0.635768,0.887923
0.617251,0.875455
0.583039,0.880011
0.615317,0.87854
0.612451,0.88022
0.602101,0.868921
0.622928,0.877484
0.606939,0.851668
0.602967,0.870889
0.610356,0.864666
0.612185,0.862161
0.609055,0.874694
0.608373,0.858745
0.626466,0.870088
0.614807,0.875042
0.611547,0.853151
0.602173,0.889624
0.630813,0.87958
0.674287,0.886933
0.602121,0.874511
0.619579,0.864868
0.61382,0.875428
0.647107,0.889086
0.655349,0.88088
0.635201,0.878007
0.655719,0.881462
0.621556,0.877677
0.624871,0.877563
0.618871,0.868671
0.634215,0.876287
0.624653,0.889804
0.638685,0.876687
0.630357,0.880216
0.621564,0.88347
0.631221,0.893914
0.643701,0.877062
0.658323,0.887592
0.652417,0.883936
0.628661,0.879638
