train_arc_acc,train_lab_acc
tensor(0.0703),tensor(0.0254)
tensor(0.0327),tensor(0.0781)
tensor(0.0273),tensor(0.0977)
tensor(0.0495),tensor(0.1120)
tensor(0.0707),tensor(0.0992)
tensor(0.0211),tensor(0.0910)
tensor(0.0312),tensor(0.0986)
tensor(0.0300),tensor(0.0853)
tensor(0.0187),tensor(0.0962)
tensor(0.0278),tensor(0.0972)
tensor(0.0128),tensor(0.0852)
tensor(0.0531),tensor(0.1000)
tensor(0.0795),tensor(0.0938)
tensor(0.0556),tensor(0.1146)
tensor(0.0299),tensor(0.1141)
tensor(0.0134),tensor(0.1696)
tensor(0.0119),tensor(0.1354)
tensor(0.0097),tensor(0.1007)
tensor(0.0625),tensor(0.1319)
tensor(0.0404),tensor(0.1121)
tensor(0.0194),tensor(0.1216)
tensor(0.0609),tensor(0.1118)
tensor(0.0256),tensor(0.1130)
tensor(0.0262),tensor(0.1200)
tensor(0.0353),tensor(0.1155)
tensor(0.0232),tensor(0.1109)
tensor(0.0703),tensor(0.1458)
tensor(0.0511),tensor(0.1179)
tensor(0.0576),tensor(0.1168)
tensor(0.0402),tensor(0.1049)
tensor(0.0462),tensor(0.1175)
tensor(0.0859),tensor(0.1458)
tensor(0.0296),tensor(0.1250)
tensor(0.0352),tensor(0.1198)
tensor(0.0236),tensor(0.1301)
tensor(0.0327),tensor(0.1222)
tensor(0.0208),tensor(0.1319)
